"rt","condition","q","explicit","impasse","grid","mark","ixn","question","graph","datafile","colorClick","gwidth","gheight","relation","block","time_elapsed","subject","study","session","pool","mode","exp_id","sona_id","source","correct","discriminant","tri_score","orth_score","other_score","blank_score","answer","hovered","term"
17502,"111","1","1","1","1",1,1,"Which shift(s) start at 11 am?","triangular","acme_control",FALSE,600,600,"starttime","item_scaffold",77512,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-1,0,1,0,0,"A","09 AM11 AM","winter22"
16376,"111","2","1","1","1",1,1,"Which shift(s) start at the same time as D?","triangular","acme_control",FALSE,600,600,"starts","item_scaffold",93996,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-1,0,1,0,0,"E","3A K I F G ","winter22"
6892,"111","3","1","1","1",1,1,"Which shift(s) begin when C ends?","triangular","acme_control",FALSE,600,600,"meets","item_scaffold",100986,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,0,0,0,0,1,"","","winter22"
50172,"111","4","1","1","1",1,1,"Which shift(s) end at 4 pm?","triangular","acme_control",FALSE,600,600,"endtime","item_scaffold",151256,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-0.166666666666667,0,0,2,0,"X,K","02 PM01 PM04 PM04 PM04 PM04 PM04 PM04 PM04 PM04 PM","winter22"
16890,"111","5","1","1","1",1,1,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","triangular","acme_control",FALSE,600,600,"midpoint","item_scaffold",168343,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",TRUE,1,1,0,0,0,"O","","winter22"
46975,"111","6","1","1","1",1,1,"Which shift(s) are six hours long?","triangular","acme_main",FALSE,600,600,"duration","item_nondiscriminant",221496,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",TRUE,0,2,2,0,0,"E,G","","winter22"
116209,"111","7","1","1","1",1,1,"Which 2 shifts less than 5 hours long start at the same time?","triangular","acme_main",FALSE,600,600,"duration+starts","item_test",337804,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-0.166666666666667,0,0,2,0,"C,H","","winter22"
55352,"111","8","1","1","1",1,1,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","triangular","acme_main",FALSE,600,600,"duration+contained","item_test",393786,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-0.0833333333333333,0,0,1,0,"O","","winter22"
22067,"111","9","1","1","1",1,1,"Which shift(s) begins before J begins and ends during B?","triangular","acme_main",FALSE,600,600,"starttime+before+endtime+during","item_nondiscriminant",415955,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",TRUE,0,1,1,0,0,"I","","winter22"
7223,"111","10","1","1","1",1,1,"Which shift(s) end at the same time as F?","triangular","acme_main",FALSE,600,600,"ends","item_test",423283,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-0.0833333333333333,0,0,1,0,"Z","","winter22"
20877,"111","11","1","1","1",1,1,"Which shift(s) start at 12pm?","triangular","acme_main",FALSE,600,600,"starttime","item_test",444258,"7FU37","SGC3A","wi22sona","sona","asynch","2218","35316","limitless-plains",FALSE,-1,0,2,0,0,"B,F","12 PM12 PM01 PM12 PM","winter22"
